,track,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Immigrant Song - Remaster,Led Zeppelin,0.013,0.564,146250,0.932,0.169,11,0.349,-10.068,1,0.0554,112.937,4,0.619
1,Stairway to Heaven - Remaster,Led Zeppelin,0.58,0.338,482830,0.34,0.0032,9,0.116,-12.049,0,0.0339,82.433,4,0.197
2,Whole Lotta Love - 1990 Remaster,Led Zeppelin,0.0484,0.412,333893,0.902,0.131,9,0.405,-11.6,1,0.405,89.74,4,0.422
3,Black Dog - Remaster,Led Zeppelin,0.396,0.437,295387,0.864,0.0314,4,0.242,-7.842,0,0.0904,81.394,4,0.749
4,Rock and Roll - Remaster,Led Zeppelin,0.000582,0.317,220561,0.887,0.00258,9,0.0891,-7.292,1,0.0375,169.613,4,0.871
5,Good Times Bad Times - 1993 Remaster,Led Zeppelin,0.0382,0.476,166267,0.717,7.61e-05,9,0.0818,-9.192,1,0.0949,93.584,4,0.753
6,Ramble On - 1990 Remaster,Led Zeppelin,0.072,0.468,263333,0.607,0.000852,9,0.225,-11.367,1,0.0336,98.429,4,0.886
7,Kashmir - Remaster,Led Zeppelin,0.452,0.483,517125,0.615,0.000414,2,0.0512,-8.538,1,0.0497,80.576,3,0.594
8,Going to California - Remaster,Led Zeppelin,0.943,0.503,212161,0.265,0.045,2,0.0867,-15.913,1,0.0333,78.044,4,0.522
9,Over the Hills and Far Away - Remaster,Led Zeppelin,0.0679,0.402,290934,0.691,0.133,7,0.0955,-10.274,1,0.0691,96.95,4,0.206
10,All Along the Watchtower,Jimi Hendrix,0.00255,0.438,240800,0.805,5.69e-05,8,0.0842,-6.237,1,0.0624,113.253,4,0.564
11,Little Wing,Jimi Hendrix,0.181,0.515,145747,0.534,0.00278,6,0.0547,-8.045,1,0.0768,70.776,4,0.426
12,Purple Haze,Jimi Hendrix,0.00876,0.533,170813,0.905,0.578,2,0.0698,-5.27,1,0.0754,108.9,4,0.486
13,Hey Joe,Jimi Hendrix,0.00603,0.346,210160,0.768,0.38,9,0.0244,-5.695,1,0.0377,169.492,4,0.532
14,Voodoo Child (Slight Return),Jimi Hendrix,0.477,0.214,313373,0.91,0.00833,8,0.0517,-6.662,1,0.389,175.549,4,0.448
15,The Wind Cries Mary,Jimi Hendrix,0.348,0.499,200733,0.495,0.0286,5,0.2,-10.508,1,0.0501,80.086,4,0.339
16,Castles Made of Sand,Jimi Hendrix,0.504,0.461,168920,0.714,0.0171,11,0.684,-9.159,0,0.313,94.372,4,0.454
17,Foxey Lady,Jimi Hendrix,0.0751,0.507,198773,0.847,0.237,1,0.372,-5.987,0,0.0411,98.096,4,0.566
18,Crosstown Traffic,Jimi Hendrix,0.248,0.486,146573,0.963,2.39e-06,0,0.158,-5.586,0,0.129,113.133,4,0.533
19,Red House,Jimi Hendrix,0.585,0.277,230360,0.479,0.0224,5,0.16,-8.483,0,0.0495,53.905,4,0.483
20,People Are Strange,The Doors,0.685,0.699,130173,0.467,0.0,4,0.315,-8.578,0,0.0375,119.287,4,0.764
21,Break on Through (To the Other Side),The Doors,0.2,0.421,145867,0.751,0.0,9,0.17,-9.584,1,0.0472,89.839,4,0.789
22,Riders on the Storm,The Doors,0.25,0.55,434720,0.722,0.0129,11,0.11,-11.729,0,0.0283,103.886,4,0.716
23,Roadhouse Blues,The Doors,0.336,0.623,243827,0.633,4.6e-05,9,0.147,-8.212,1,0.0304,121.119,4,0.895
24,Light My Fire,The Doors,0.369,0.413,429760,0.725,2.16e-05,3,0.0905,-5.787,0,0.0324,124.618,4,0.44
25,Love Her Madly,The Doors,0.0573,0.565,198467,0.587,0.00493,4,0.0416,-7.393,0,0.0317,147.462,4,0.966
26,Peace Frog,The Doors,0.16,0.641,170133,0.725,0.00321,7,0.648,-7.376,1,0.039,112.529,4,0.808
27,Touch Me,The Doors,0.405,0.425,190253,0.903,0.0128,1,0.117,-4.801,1,0.0732,108.748,4,0.769
28,L.A. Woman,The Doors,0.0812,0.354,471160,0.731,0.00124,2,0.115,-9.178,1,0.0382,170.633,4,0.697
29,Love Me Two Times,The Doors,0.332,0.684,195107,0.698,5.16e-06,9,0.122,-6.219,1,0.041,132.846,4,0.839
30,Smoke on the Water,Deep Purple,0.0983,0.632,342173,0.586,0.581,0,0.0535,-11.333,1,0.0284,114.243,4,0.89
31,Highway Star,Deep Purple,0.0283,0.298,368507,0.895,0.00574,9,0.305,-7.647,0,0.0547,173.737,4,0.544
32,Perfect Strangers,Deep Purple,0.00348,0.521,328427,0.721,0.0113,2,0.391,-7.699,1,0.0254,97.578,4,0.611
33,Child in Time,Deep Purple,0.17,0.338,620373,0.461,0.564,9,0.0927,-10.74,0,0.0396,126.698,4,0.351
34,Soldier of Fortune,Deep Purple,0.417,0.546,193653,0.274,2.99e-05,2,0.109,-15.07,0,0.027,66.809,4,0.228
35,Hush - 1998 Remix,Deep Purple,0.00382,0.587,253493,0.614,0.147,10,0.0459,-10.045,1,0.0394,108.433,4,0.209
36,When a Blind Man Cries - B-Side; 2012 Remaster,Deep Purple,0.864,0.599,211400,0.271,0.0243,11,0.0553,-10.724,0,0.0358,129.173,4,0.216
37,Black Night,Deep Purple,0.165,0.497,207467,0.787,0.522,9,0.17,-11.039,1,0.0734,134.598,4,0.812
38,Burn - 2002 Remaster,Deep Purple,0.0109,0.38,364747,0.938,0.0257,7,0.366,-6.183,1,0.0384,96.653,4,0.604
39,Space Truckin',Deep Purple,0.00343,0.624,274440,0.815,0.622,9,0.175,-10.542,1,0.0425,129.191,4,0.758
40,Baba O'Riley,The Who,0.313,0.489,300400,0.724,0.185,5,0.287,-8.367,1,0.0352,117.292,4,0.15
41,Behind Blue Eyes,The Who,0.213,0.394,221427,0.622,4.45e-05,4,0.0892,-8.258,0,0.0336,126.844,4,0.342
42,Pinball Wizard,The Who,0.0192,0.543,180943,0.715,0.0,2,0.256,-8.89,1,0.0356,124.011,4,0.468
43,My Generation - Stereo Version,The Who,0.308,0.412,198707,0.782,0.00822,2,0.0775,-9.186,0,0.058,96.732,4,0.705
44,Won't Get Fooled Again - Original Album Version,The Who,0.301,0.686,511400,0.92,0.27,2,0.0807,-6.231,1,0.0566,135.027,4,0.225
45,Who Are You,The Who,0.262,0.651,381627,0.648,0.0042,9,0.0655,-11.409,1,0.0501,156.372,4,0.49
46,Eminence Front,The Who,0.232,0.697,339107,0.787,0.587,5,0.0404,-9.695,0,0.0305,98.066,4,0.572
47,The Seeker - Original Single A-Side Mix,The Who,0.019,0.31,192493,0.741,5.41e-06,2,0.171,-8.114,1,0.0374,180.344,4,0.703
48,Squeeze Box,The Who,0.504,0.627,161440,0.882,0.000103,7,0.0882,-5.443,1,0.031,133.231,4,0.768
49,Love Ain't For Keeping,The Who,0.0779,0.554,130720,0.818,0.0106,2,0.341,-6.864,1,0.0362,142.339,4,0.512
50,Paranoid - 2012 - Remaster,Black Sabbath,4.52e-05,0.412,168406,0.658,0.000774,4,0.176,-12.051,0,0.0708,163.071,4,0.454
51,Iron Man - 2012 - Remaster,Black Sabbath,0.00351,0.336,355304,0.792,0.00175,9,0.0437,-10.875,1,0.084,155.587,4,0.427
52,War Pigs / Luke's Wall - 2012 - Remaster,Black Sabbath,0.222,0.332,474360,0.623,0.000895,9,0.278,-12.363,1,0.08,183.097,4,0.413
53,Children of the Grave - 2014 Remaster,Black Sabbath,0.0802,0.318,317206,0.65,0.132,6,0.0962,-13.928,1,0.0375,149.994,4,0.368
54,N.I.B.,Black Sabbath,0.0838,0.476,364493,0.556,1.59e-05,4,0.125,-10.586,0,0.0646,103.122,4,0.43
55,Heaven and Hell - 2008 Remaster,Black Sabbath,0.0239,0.329,419933,0.673,0.109,3,0.138,-8.465,0,0.0296,91.122,4,0.323
56,Orchid - 2014 Remaster,Black Sabbath,0.753,0.492,90783,0.0499,0.834,11,0.139,-28.814,1,0.0484,101.366,3,0.631
57,Planet Caravan - 2012 - Remaster,Black Sabbath,0.941,0.368,269027,0.0595,0.889,9,0.0827,-28.603,1,0.036,90.127,4,0.338
58,Sweet Leaf - 2014 Remaster,Black Sabbath,0.00183,0.362,304787,0.6,0.0426,2,0.0814,-12.285,1,0.0463,148.462,4,0.658
59,The Wizard - 2014 Remaster,Black Sabbath,0.0335,0.394,262747,0.682,0.000231,9,0.307,-11.972,1,0.111,100.646,4,0.361
60,Sunshine Of Your Love,Cream,0.385,0.683,250400,0.594,8.61e-05,2,0.121,-8.289,1,0.0347,115.099,4,0.734
61,White Room,Cream,0.191,0.553,298333,0.576,0.00664,0,0.0365,-13.458,1,0.0304,109.827,4,0.457
62,Strange Brew,Cream,0.47,0.603,166280,0.563,1.04e-05,2,0.29,-9.932,1,0.0283,106.431,4,0.642
63,I Feel Free,Cream,0.106,0.375,171507,0.448,5.55e-05,9,0.141,-14.06,1,0.0264,88.371,4,0.564
64,Crossroads - Live,Cream,0.413,0.391,258467,0.756,0.0418,7,0.879,-11.317,1,0.0648,131.648,4,0.839
65,Outside Woman Blues,Cream,0.389,0.636,144840,0.589,0.000211,9,0.379,-8.196,1,0.0387,113.403,4,0.959
66,Tales Of Brave Ulysses,Cream,0.0178,0.538,166453,0.476,4.26e-05,0,0.101,-9.215,0,0.049,105.642,4,0.188
67,Badge,Cream,0.449,0.596,164707,0.575,0.000104,4,0.0839,-14.254,0,0.04,107.573,4,0.745
68,SWLABR,Cream,0.272,0.549,151680,0.599,1.11e-06,4,0.147,-6.786,0,0.0454,124.22,4,0.835
69,Born Under A Bad Sign,Cream,0.295,0.476,189440,0.504,0.000153,0,0.256,-14.532,1,0.0282,183.057,4,0.947
70,Sweet Home Alabama,Lynyrd Skynyrd,0.181,0.596,283800,0.605,0.000331,7,0.0863,-12.145,1,0.0255,97.798,4,0.886
71,Free Bird,Lynyrd Skynyrd,0.0738,0.249,547107,0.834,9.48e-05,0,0.0924,-8.21,1,0.0577,118.223,4,0.338
72,Simple Man,Lynyrd Skynyrd,0.0366,0.422,356627,0.752,0.000119,6,0.129,-8.682,1,0.0449,120.471,4,0.403
73,Gimme Three Steps,Lynyrd Skynyrd,0.698,0.554,267173,0.74,6.9e-05,9,0.225,-7.706,1,0.0803,133.363,4,0.804
74,Tuesday's Gone,Lynyrd Skynyrd,0.0778,0.232,450227,0.615,5.68e-06,9,0.0601,-8.636,1,0.0295,146.488,3,0.41
75,Call Me The Breeze,Lynyrd Skynyrd,0.00434,0.271,309773,0.642,0.0781,2,0.118,-10.475,1,0.0384,186.366,4,0.819
76,The Ballad Of Curtis Loew,Lynyrd Skynyrd,0.312,0.432,291736,0.425,3.19e-06,9,0.105,-12.165,1,0.0918,144.821,4,0.589
77,That Smell,Lynyrd Skynyrd,0.0134,0.455,348240,0.573,0.0304,9,0.428,-11.301,0,0.0355,117.252,4,0.644
78,What's Your Name,Lynyrd Skynyrd,0.602,0.646,213267,0.574,4.19e-05,7,0.135,-9.352,1,0.0285,135.175,4,0.933
79,The Needle And The Spoon,Lynyrd Skynyrd,0.283,0.53,233600,0.614,0.0281,7,0.53,-11.556,1,0.0408,115.329,4,0.638
80,Me and Bobby McGee,Janis Joplin,0.303,0.43,271333,0.463,5.84e-05,2,0.152,-10.96,1,0.0442,93.405,4,0.66
81,Piece of My Heart,Janis Joplin,0.263,0.443,253333,0.727,0.000141,4,0.169,-7.951,1,0.145,160.82,4,0.566
82,Cry Baby,Janis Joplin,0.514,0.474,238600,0.418,0.000343,0,0.0535,-9.654,1,0.0299,83.308,3,0.504
83,Maybe,Janis Joplin,0.227,0.4,219133,0.35,0.0397,8,0.103,-11.401,1,0.0345,83.389,4,0.328
84,Summertime,Janis Joplin,0.0936,0.295,238400,0.296,0.000213,5,0.128,-13.94,1,0.0291,180.756,3,0.384
85,Kozmic Blues,Janis Joplin,0.737,0.338,261893,0.62,0.267,7,0.624,-8.22,1,0.0455,176.922,3,0.5
86,Mercedes Benz,Janis Joplin,0.939,0.704,107867,0.106,0.0,0,0.0674,-15.169,0,0.542,86.763,4,0.521
87,Call On Me,Janis Joplin,0.526,0.592,152733,0.363,0.000696,4,0.319,-11.289,1,0.0431,101.077,3,0.618
88,Move Over,Janis Joplin,0.189,0.708,223827,0.497,0.0116,0,0.0723,-10.337,1,0.0527,132.997,4,0.919
89,Little Girl Blue,Janis Joplin,0.458,0.399,228693,0.366,0.00431,5,0.117,-10.814,1,0.035,130.246,3,0.143
90,"Paint It, Black",The Rolling Stones,0.0493,0.464,202267,0.795,0.00244,1,0.399,-9.267,1,0.0926,158.691,4,0.612
91,Start Me Up - Remastered 2009,The Rolling Stones,0.0436,0.631,213067,0.932,0.137,5,0.0918,-4.142,1,0.0354,122.429,4,0.971
92,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,0.0383,0.723,222813,0.863,0.0317,2,0.128,-7.89,1,0.0338,136.302,4,0.931
93,Gimme Shelter,The Rolling Stones,0.447,0.634,270773,0.63,0.039,1,0.17,-8.277,0,0.031,118.628,4,0.489
94,Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,0.518,0.702,378147,0.668,0.0,9,0.0588,-9.237,1,0.214,116.063,4,0.561
95,Angry,The Rolling Stones,0.000658,0.589,226736,0.89,5.44e-06,4,0.0357,-3.467,1,0.0774,113.088,4,0.709
96,Beast Of Burden - Remastered 1994,The Rolling Stones,0.39,0.783,265173,0.878,0.000778,1,0.0426,-3.864,0,0.0308,100.626,4,0.885
97,Angie - Remastered 2009,The Rolling Stones,0.67,0.429,272000,0.554,0.000152,9,0.105,-6.128,0,0.0291,136.302,4,0.407
98,Sweet Sounds Of Heaven (feat. Lady Gaga & Stevie Wonder),The Rolling Stones,0.0107,0.452,442669,0.664,0.000799,5,0.108,-4.962,1,0.0362,130.507,3,0.304
99,Miss You - Remastered,The Rolling Stones,0.443,0.795,288667,0.71,0.0215,9,0.344,-4.746,0,0.0392,109.689,4,0.845
100,La Grange - 2005 Remaster,ZZ Top,0.00249,0.545,230480,0.64,0.0304,4,0.196,-9.937,0,0.224,80.544,4,0.606
101,Sharp Dressed Man - 2008 Remaster,ZZ Top,0.000359,0.601,258027,0.859,0.00124,5,0.0871,-5.263,1,0.0276,125.145,4,0.446
102,Tush - 2006 Remaster,ZZ Top,0.1,0.58,137933,0.885,0.00157,0,0.146,-5.154,0,0.0715,145.405,4,0.788
103,Gimme All Your Lovin',ZZ Top,0.00322,0.63,241080,0.788,0.0237,5,0.0883,-6.7,1,0.0298,120.059,4,0.63
