,track,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
104,Legs - 2008 Remaster,ZZ Top,0.00957,0.611,273907,0.946,0.0708,4,0.36,-5.357,1,0.0378,125.398,4,0.763
105,Waitin' for the Bus - 2006 Remaster,ZZ Top,0.0463,0.701,173267,0.371,0.0835,7,0.148,-10.303,1,0.0907,99.537,4,0.86
106,Just Got Paid,ZZ Top,0.29,0.567,267480,0.687,0.426,9,0.121,-10.536,1,0.0435,99.93,4,0.625
107,Jesus Just Left Chicago - 2006 Remaster,ZZ Top,0.0853,0.34,210253,0.598,0.118,0,0.0969,-9.668,1,0.0741,215.918,3,0.697
108,Rough Boy,ZZ Top,0.38,0.457,289160,0.48,0.016,9,0.142,-15.776,1,0.03,157.967,4,0.683
109,Blue Jean Blues - 2005 Remaster,ZZ Top,0.577,0.648,282627,0.242,0.0124,11,0.104,-11.319,0,0.0399,130.885,3,0.294
110,"Another Brick in the Wall, Pt. 2",Pink Floyd,0.0782,0.693,238747,0.394,0.000694,0,0.247,-15.882,1,0.0428,104.114,4,0.721
111,Wish You Were Here,Pink Floyd,0.735,0.481,334744,0.262,0.0114,7,0.832,-15.73,1,0.0414,122.861,4,0.375
112,Comfortably Numb,Pink Floyd,0.15,0.472,382297,0.366,0.312,11,0.0837,-12.595,0,0.0286,127.163,4,0.171
113,Breathe (In the Air),Pink Floyd,0.389,0.431,169535,0.373,0.728,11,0.143,-15.142,0,0.0346,128.153,4,0.253
114,Money,Pink Floyd,0.024,0.468,382834,0.536,0.00199,11,0.269,-10.422,0,0.144,126.256,1,0.785
115,The Great Gig in the Sky,Pink Floyd,0.767,0.274,283872,0.217,0.896,5,0.0832,-13.814,1,0.0345,116.334,4,0.181
116,Time,Pink Floyd,0.521,0.359,413947,0.48,0.0043,9,0.178,-11.79,1,0.0841,120.285,4,0.355
117,Hey You,Pink Floyd,0.223,0.587,278441,0.302,0.00216,0,0.128,-14.976,1,0.0293,112.46,4,0.19
118,Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,0.772,0.264,811077,0.294,0.686,7,0.107,-11.941,0,0.028,137.937,3,0.0402
119,Brain Damage,Pink Floyd,0.0732,0.324,226667,0.265,0.341,2,0.366,-13.398,1,0.0302,133.568,4,0.208
120,Jump - 2015 Remaster,Van Halen,0.171,0.572,241600,0.835,0.000377,0,0.0702,-6.219,1,0.0317,129.981,4,0.795
121,Panama - 2015 Remaster,Van Halen,0.00122,0.526,210227,0.978,4.75e-05,8,0.0744,-5.436,1,0.108,141.167,4,0.451
122,Runnin' with the Devil - 2015 Remaster,Van Halen,0.148,0.472,214960,0.9,0.000297,8,0.34,-6.406,0,0.0582,95.826,4,0.42
123,You Really Got Me - 2015 Remaster,Van Halen,0.0223,0.454,156147,0.946,0.0,1,0.173,-5.978,0,0.13,138.18,4,0.647
124,Ain't Talkin' 'Bout Love - 2015 Remaster,Van Halen,0.021,0.518,227800,0.938,0.000305,8,0.288,-5.964,0,0.0416,139.138,4,0.71
125,Why Can't This Be Love,Van Halen,0.0606,0.531,227693,0.626,0.0,0,0.0767,-13.371,1,0.0452,88.236,4,0.746
126,Hot for Teacher - 2015 Remaster,Van Halen,0.000652,0.552,282747,0.947,0.00025,2,0.0637,-4.671,1,0.15,127.631,4,0.465
127,Dance the Night Away - 2015 Remaster,Van Halen,0.0373,0.548,188084,0.843,1.26e-06,8,0.0536,-7.32,1,0.0597,129.661,4,0.719
128,Eruption - 2015 Remaster,Van Halen,0.469,0.225,102080,0.689,0.813,8,0.337,-9.12,1,0.0555,93.798,4,0.5
129,Can't Stop Lovin' You,Van Halen,0.0734,0.609,247467,0.912,3.1e-06,9,0.159,-3.324,1,0.0338,118.035,4,0.564
130,Ghost Song,Jim Morrison,0.416,0.764,170667,0.48,0.316,0,0.107,-13.63,1,0.0819,110.175,4,0.705
131,Black Polished Chrome,Jim Morrison,0.141,0.564,67880,0.502,0.000208,2,0.277,-12.27,1,0.0621,138.428,4,0.708
132,A Feast of Friends - 2022 Remastered Version,Jim Morrison,0.668,0.394,130000,0.415,0.13,0,0.181,-8.056,0,0.0308,71.534,3,0.35
133,Stoned Immaculate,Jim Morrison,0.128,0.749,93320,0.388,0.000483,4,0.213,-16.357,1,0.104,119.97,4,0.865
134,Newborn Awakening,Jim Morrison,0.374,0.549,144933,0.45,0.000409,0,0.147,-14.252,1,0.0681,112.125,4,0.464
135,An American Prayer,Jim Morrison,0.411,0.704,184400,0.427,0.0247,7,0.233,-15.091,1,0.0606,110.389,4,0.774
136,Hour for Magic,Jim Morrison,0.624,0.467,77907,0.173,0.00105,2,0.113,-21.039,1,0.0604,115.894,5,0.218
137,Bird of Prey,Jim Morrison,0.962,0.567,63773,0.144,5.41e-05,1,0.275,-24.232,1,0.322,48.655,4,0.178
138,The Ghost Song,Jim Morrison,0.375,0.746,315920,0.473,0.00562,2,0.0629,-14.567,0,0.142,110.527,4,0.247
139,Ghost Song,Jim Morrison,0.353,0.78,252813,0.464,0.0242,0,0.0656,-13.898,1,0.0572,110.465,4,0.784
140,Tom Sawyer,Rush,0.00145,0.536,276880,0.901,0.0186,9,0.06,-7.211,1,0.0374,87.559,4,0.666
141,Limelight,Rush,0.00197,0.581,259840,0.854,0.0013,1,0.111,-8.485,0,0.0428,131.18,4,0.788
142,The Spirit Of Radio,Rush,0.0144,0.365,296467,0.924,0.000254,4,0.423,-7.066,1,0.0488,135.811,4,0.632
143,Closer To The Heart,Rush,0.115,0.373,171960,0.809,1.94e-06,2,0.653,-9.189,1,0.0744,145.045,1,0.539
144,Fly By Night,Rush,0.0872,0.501,202200,0.702,0.000994,7,0.0671,-8.543,1,0.0671,139.095,4,0.58
145,Working Man,Rush,0.00383,0.202,429973,0.835,0.0388,9,0.126,-11.04,1,0.0599,156.883,4,0.661
146,YYZ,Rush,0.00205,0.51,265840,0.919,0.809,7,0.068,-8.244,1,0.0593,141.053,4,0.386
147,Subdivisions,Rush,0.0468,0.513,334000,0.841,0.0425,11,0.12,-9.272,0,0.0364,133.266,3,0.457
148,Freewill,Rush,0.0113,0.485,321800,0.935,3.89e-05,2,0.331,-7.005,1,0.0696,155.61,4,0.68
149,Time Stand Still,Rush,0.043,0.529,308867,0.937,0.0302,4,0.333,-7.832,1,0.046,138.292,4,0.611
150,Crazy Train,Ozzy Osbourne,0.408,0.454,293183,0.913,0.000271,9,0.248,-4.008,1,0.107,137.688,4,0.521
151,No More Tears,Ozzy Osbourne,0.00167,0.346,443240,0.749,8.86e-05,6,0.648,-6.506,1,0.035,102.591,4,0.315
152,"Mama, I'm Coming Home",Ozzy Osbourne,0.0105,0.282,251867,0.656,0.0,8,0.0892,-6.557,1,0.0302,139.352,4,0.242
153,I Don't Wanna Stop,Ozzy Osbourne,0.000963,0.578,239827,0.937,2.25e-06,5,0.4,-3.926,1,0.0724,137.937,4,0.769
154,Bark at the Moon,Ozzy Osbourne,0.00253,0.303,257120,0.961,6.2e-05,9,0.132,-5.333,0,0.243,146.591,4,0.305
155,Mr. Crowley,Ozzy Osbourne,0.212,0.307,302648,0.748,0.000153,2,0.368,-6.514,0,0.0568,108.227,4,0.347
156,Shot in the Dark,Ozzy Osbourne,0.00835,0.581,256293,0.791,6.02e-05,6,0.142,-7.262,1,0.0324,123.887,3,0.619
157,Dreamer,Ozzy Osbourne,0.0629,0.493,284907,0.636,2.49e-06,1,0.0921,-7.408,1,0.0256,79.419,4,0.279
158,Close My Eyes Forever,Ozzy Osbourne,0.31,0.476,283133,0.331,2.82e-06,5,0.172,-14.884,1,0.0305,130.574,4,0.24
159,Hellraiser - 30th Anniversary Edition,Ozzy Osbourne,0.00329,0.622,295240,0.905,2.93e-05,4,0.115,-5.12,1,0.0428,96.049,4,0.441
160,Big Log - 2006 Remaster,Robert Plant,0.359,0.554,304800,0.639,0.00274,9,0.205,-7.163,0,0.0278,180.638,4,0.644
161,29 Palms - 2006 Remaster,Robert Plant,0.0882,0.657,291907,0.658,0.000131,7,0.136,-8.187,1,0.0258,116.817,4,0.827
162,If I Were a Carpenter - 2006 Remaster,Robert Plant,0.0535,0.551,225200,0.546,0.0431,8,0.391,-11.203,1,0.0285,129.712,4,0.21
163,Can’t Let Go,Robert Plant,0.11,0.717,221440,0.823,0.0238,10,0.143,-6.907,0,0.0443,90.261,4,0.9
164,In the Mood - 2006 Remaster,Robert Plant,0.17,0.607,322960,0.723,0.0492,7,0.0779,-7.452,1,0.0282,101.558,4,0.298
165,Gone Gone Gone (Done Moved On),Robert Plant,0.089,0.491,212840,0.66,0.298,11,0.176,-7.473,1,0.0436,190.614,4,0.408
166,Killing the Blues,Robert Plant,0.618,0.519,255827,0.438,0.513,2,0.171,-11.58,1,0.0256,74.561,4,0.376
167,Ship of Fools - 2006 Remaster,Robert Plant,0.163,0.61,300587,0.473,0.00111,7,0.0905,-6.594,1,0.0247,93.138,4,0.231
168,Rich Woman,Robert Plant,0.194,0.729,243480,0.513,0.543,10,0.222,-9.862,0,0.0579,127.673,4,0.642
169,High And Lonesome,Robert Plant,0.028,0.723,273947,0.608,0.424,1,0.128,-9.094,0,0.0342,121.24,4,0.638
170,Born To Be Wild - Single Version,Steppenwolf,0.262,0.439,212893,0.734,0.333,2,0.244,-12.168,1,0.097,145.703,4,0.54
171,Magic Carpet Ride,Steppenwolf,0.142,0.64,271573,0.651,0.28,4,0.0341,-14.981,0,0.0517,111.676,4,0.801
172,The Pusher,Steppenwolf,0.165,0.482,352907,0.402,0.0169,0,0.0717,-13.45,1,0.027,81.502,4,0.721
173,"Sookie, Sookie",Steppenwolf,0.195,0.626,197227,0.732,0.331,4,0.14,-11.435,0,0.067,112.151,4,0.633
174,Berry Rides Again,Steppenwolf,0.414,0.607,172360,0.772,0.0478,5,0.0578,-11.39,1,0.0294,145.246,4,0.97
175,"Don't Step On The Grass, Sam",Steppenwolf,0.496,0.539,342187,0.429,5.73e-06,8,0.398,-15.279,1,0.0382,75.479,4,0.609
176,Hoochie Coochie Man,Steppenwolf,0.113,0.241,315707,0.575,0.093,2,0.175,-12.882,1,0.0597,172.743,3,0.522
177,Jupiter's Child,Steppenwolf,0.119,0.583,204867,0.509,0.0502,10,0.116,-13.921,1,0.0293,99.185,4,0.913
178,Magic Carpet Ride - Mathclub Remix,Steppenwolf,0.00577,0.777,139636,0.95,0.0259,7,0.119,-3.433,1,0.0364,109.967,4,0.798
179,Rock Me,Steppenwolf,0.0638,0.6,218827,0.852,0.00881,5,0.321,-12.391,1,0.0361,126.201,4,0.844
180,Black Hole Sun,Soundgarden,0.000217,0.35,318587,0.828,0.000161,6,0.0774,-5.373,1,0.041,105.435,4,0.147
181,Spoonman,Soundgarden,2.17e-05,0.457,246920,0.902,0.196,7,0.258,-5.624,1,0.0313,92.711,4,0.834
182,Fell On Black Days,Soundgarden,0.00152,0.574,283027,0.739,0.000328,4,0.141,-5.745,0,0.0271,101.069,3,0.514
183,Outshined - Remastered,Soundgarden,0.000173,0.485,311000,0.841,0.00686,2,0.125,-6.068,0,0.0307,94.867,4,0.551
184,Rusty Cage - Remastered,Soundgarden,1.65e-05,0.307,266200,0.917,0.00044,9,0.0566,-7.599,1,0.0977,101.879,4,0.266
185,Burden In My Hand,Soundgarden,0.00534,0.319,290107,0.803,0.0126,10,0.177,-8.928,1,0.0394,183.031,4,0.589
186,The Day I Tried To Live,Soundgarden,0.000164,0.472,320107,0.752,0.181,0,0.0903,-6.051,1,0.0555,133.248,4,0.305
187,Blow Up The Outside World,Soundgarden,0.000807,0.33,345667,0.529,0.214,9,0.126,-10.043,1,0.0358,140.156,4,0.148
188,Pretty Noose,Soundgarden,1.79e-05,0.389,251867,0.925,0.244,0,0.222,-7.97,1,0.0643,150.893,4,0.317
189,Hunted Down - Remastered,Soundgarden,0.000294,0.374,162520,0.92,0.762,1,0.241,-8.228,1,0.116,165.379,4,0.484
190,House Of The Rising Sun,The Animals,0.000385,0.295,271280,0.584,0.218,9,0.0996,-6.696,0,0.0345,117.2,3,0.228
191,Don't Let Me Be Misunderstood,The Animals,0.0929,0.513,149360,0.775,0.0,11,0.404,-5.136,0,0.0284,112.202,4,0.518
192,We Gotta Get Out Of This Place - UK Single Version,The Animals,0.432,0.534,194600,0.61,2.77e-06,5,0.0988,-5.276,1,0.0343,124.05,4,0.45
193,It's My Life,The Animals,0.000393,0.552,187613,0.704,0.000104,1,0.0993,-4.798,1,0.0344,122.85,4,0.677
194,"It's All over Now, Baby Blue",The Animals,0.395,0.655,282773,0.449,0.000119,2,0.0852,-9.61,1,0.0358,117.067,4,0.28
195,Bring It On Home To Me,The Animals,0.495,0.465,163867,0.598,1.16e-06,7,0.175,-5.53,1,0.0305,124.818,3,0.748
196,As the Crow Flies,The Animals,0.621,0.663,219133,0.39,0.0184,9,0.112,-10.333,0,0.0288,72.655,4,0.534
197,Outcast,The Animals,0.51,0.422,184653,0.749,0.053,2,0.224,-6.105,1,0.0448,122.017,4,0.386
198,Baby Let Me Take You Home,The Animals,0.253,0.502,141213,0.797,1.29e-05,9,0.445,-5.069,1,0.0385,140.042,4,0.921
199,Boom Boom,The Animals,0.386,0.432,199760,0.659,0.0,10,0.289,-5.389,1,0.0505,78.989,4,0.799
200,(Don't Fear) The Reaper,Blue Öyster Cult,0.0029,0.333,308120,0.927,0.000208,9,0.297,-8.55,0,0.0733,141.466,4,0.385
201,Burnin' for You,Blue Öyster Cult,0.106,0.532,271000,0.728,0.0108,9,0.0849,-9.079,0,0.0352,134.303,4,0.69
202,Then Came the Last Days of May,Blue Öyster Cult,0.301,0.367,210547,0.609,0.0243,9,0.196,-11.221,0,0.0457,149.386,4,0.443
203,Godzilla,Blue Öyster Cult,0.164,0.373,221400,0.869,7.76e-06,4,0.605,-7.719,1,0.0554,184.024,4,0.696
204,Cities On Flame with Rock and Roll,Blue Öyster Cult,0.0716,0.337,242640,0.886,0.00156,4,0.204,-8.607,1,0.098,177.713,4,0.648
205,Astronomy,Blue Öyster Cult,0.381,0.298,383973,0.581,0.0224,4,0.172,-8.133,0,0.0289,89.285,4,0.26
206,(Don't Fear) The Reaper,Blue Öyster Cult,0.000462,0.433,229053,0.912,0.000235,0,0.261,-10.658,1,0.0571,141.938,4,0.68
207,Veteran of the Psychic Wars,Blue Öyster Cult,0.162,0.453,289587,0.776,3.81e-05,0,0.349,-9.937,1,0.0432,85.992,4,0.568
208,Take Me Away,Blue Öyster Cult,0.0108,0.538,271680,0.851,1.82e-05,8,0.325,-7.793,1,0.0643,117.359,4,0.66
209,Fire of Unknown Origin,Blue Öyster Cult,0.0612,0.565,251440,0.603,0.00144,4,0.0666,-9.533,1,0.0287,126.984,4,0.489
